question,student_id_a,student_id_b,similarity
Q1,S001,S002,0.31497418244406195
Q1,S001,S003,0.38632478632478634
Q1,S001,S004,0.3083197389885807
Q1,S001,S005,0.41048593350383633
Q1,S001,S006,0.40905416329830235
Q1,S001,S007,0.2569037656903766
Q1,S001,S008,0.364715860899067
Q1,S001,S009,0.3197969543147208
Q1,S001,S010,0.34474123539232054
Q1,S002,S003,0.35016465422612514
Q1,S002,S004,0.30603448275862066
Q1,S002,S005,0.3125904486251809
Q1,S002,S006,0.3456175298804781
Q1,S002,S007,0.26857142857142857
Q1,S002,S008,0.3988505747126437
Q1,S002,S009,0.3440736478711162
Q1,S002,S010,0.36201117318435755
Q1,S003,S004,0.33537832310838445
Q1,S003,S005,0.3609129814550642
Q1,S003,S006,0.3947876447876448
Q1,S003,S007,0.2673684210526316
Q1,S003,S008,0.40064102564102566
Q1,S003,S009,0.3822562979189485
Q1,S003,S010,0.3705636743215031
Q1,S004,S005,0.2804878048780488
Q1,S004,S006,0.32007400555041626
Q1,S004,S007,0.26170212765957446
Q1,S004,S008,0.32073544433094997
Q1,S004,S009,0.3205944798301486
Q1,S004,S010,0.3282051282051282
Q1,S005,S006,0.37652645861601086
Q1,S005,S007,0.2425295343988881
Q1,S005,S008,0.34971509971509973
Q1,S005,S009,0.3176302640970735
Q1,S005,S010,0.3559685489635454
Q1,S006,S007,0.2559241706161137
Q1,S006,S008,0.3998044965786901
Q1,S006,S009,0.34271844660194173
Q1,S006,S010,0.35283018867924526
Q1,S007,S008,0.26567481402763016
Q1,S007,S009,0.29772727272727273
Q1,S007,S010,0.2814178302900107
Q1,S008,S009,0.3459051724137931
Q1,S008,S010,0.3829787234042553
Q1,S009,S010,0.35683297180043383
Q2,S001,S002,0.2698511166253102
Q2,S001,S003,0.27099236641221375
Q2,S001,S004,0.32027649769585254
Q2,S001,S005,0.28284566838783703
Q2,S001,S006,0.2529302899444787
Q2,S001,S007,0.20012787723785166
Q2,S001,S008,0.2610024449877751
Q2,S001,S009,0.2419753086419753
Q2,S001,S010,0.27315914489311166
Q2,S002,S003,0.314540059347181
Q2,S002,S004,0.3046623794212219
Q2,S002,S005,0.35086206896551725
Q2,S002,S006,0.2824858757062147
Q2,S002,S007,0.21163490471414242
Q2,S002,S008,0.31385485391140433
Q2,S002,S009,0.35246727089627394
Q2,S002,S010,0.3276327632763276
Q2,S003,S004,0.3226890756302521
Q2,S003,S005,0.3409893992932862
Q2,S003,S006,0.35221421215242016
Q2,S003,S007,0.2422293676312969
Q2,S003,S008,0.31733594515181196
Q2,S003,S009,0.2748768472906404
Q2,S003,S010,0.33271028037383177
Q2,S004,S005,0.3333333333333333
Q2,S004,S006,0.2897271268057785
Q2,S004,S007,0.23659574468085107
Q2,S004,S008,0.2987321711568938
Q2,S004,S009,0.26938449240607515
Q2,S004,S010,0.3149847094801223
Q2,S005,S006,0.31440677966101693
Q2,S005,S007,0.21372719374456994
Q2,S005,S008,0.3115161557580779
